ID	genotype	serotype	construct	area	sex	LaserPower	voltage	length	frequency	pulse	protocol	event	TTL	Baseline	Amp	K1	Krate	PeakArea	Trise	T80	Tc	Tr
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	2	3276.4	0.018991728	0.564478845	-0.145402389	-0.082076572	0.361000841	0.8	0.3	NA	0.874469191
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	3	3308.3	0.02412326	0.623293327	2.246960319	1.400515372	0.901817682	0.9	0.9	-1.550027975	0.728355976
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	4	3339.3	0.0280659	0.665615778	2.672655521	1.778961683	0.958474964	1	0.7	-0.898780471	0.752702336
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	5	3370.3	0.035930869	0.660402951	2.212296864	1.461007377	1.044846261	0.9	0.9	-0.990131933	0.869733237
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	6	3401.3	0.023107111	0.72862693	1.716588504	1.250752612	2.447533042	1	1	-1.219983961	0.654194294
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	7	3432.3	0.059627367	0.920190629	3.10098942	2.853501406	1.327575472	1.1	0.6	-3.668792295	1.04359565
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	8	3463.3	0.067472008	0.930910959	2.763359949	2.572442059	1.41612948	1	0.7	-2.96155524	0.993569862
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	9	3494.3	0.07553004	0.940828535	2.849672853	2.681053534	1.34164298	1.1	0.6	-3.630483694	1.081483363
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	10	3525.3	0.07902558	0.952361783	2.51693277	2.397030582	1.402061966	1.1	0.7	NA	1.086535057
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	11	3556.3	0.084228244	0.983994385	2.990794323	2.942924821	1.400405653	1.1	0.6	-1.320175885	1.273026737
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	12	3587.3	0.08832331	0.786587862	2.176899958	1.712323085	1.167895367	1	0.8	-1.467516959	0.815680102
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	13	3618.4	0.089857689	0.819236611	2.482256875	2.033555709	1.239638269	1.1	0.6	-1.818188694	0.817448195
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	14	3649.4	0.090335278	0.820821793	2.485514898	2.040164795	1.200535986	1	0.7	-2.201275431	0.78925694
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	15	3680.4	0.093038224	0.823128444	2.149122286	1.769003683	1.221952264	1	0.8	-2.537213053	0.862436335
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	16	3711.4	0.094603088	0.830109362	2.656874947	2.205496768	1.210806169	1.1	0.6	-3.047013139	0.962137122
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	18	3805.8	0.095222937	0.203290024	0.749346096	0.152334586	0.123886389	NA	1	-0.332990811	0.2170825
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	19	3836.4	0.091056742	0.193016795	-0.195178291	-0.037672688	0.121409038	0.8	0.3	NA	0.24635426
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	20	3867.4	0.089430909	0.194347945	0.606432314	0.117858874	0.324351539	1.1	1.3	-0.166495404	0.270518197
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	21	3898.4	0.089817044	0.212821465	0.630920178	0.134273356	0.350278488	1.1	1.3	-0.315309882	0.25595248
986	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	22	3929.4	0.092479345	0.21340067	0.920298142	0.19639224	0.294653679	1.1	1	-0.456757299	0.171897912
