ID	genotype	serotype	construct	area	sex	LaserPower	voltage	length	frequency	pulse	protocol	event	TTL	Baseline	Amp	K1	Krate	PeakArea	Trise	T80	Tc	Tr
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	5	2911	1.218528408	2.056864948	1.138340985	2.341413671	2.49731436	1.1	0.7	-3.647695451	2.052800047
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	6	2942	1.446325053	1.882869152	1.256209403	2.365277933	1.911140502	1.1	0.6	-4.085275563	2.54513732
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	7	2973	1.184016183	2.006013256	1.176032689	2.359137164	2.517551428	1.1	0.7	-4.461881177	2.360062516
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	8	3004	1.156597701	1.985369624	0.993052425	1.97157612	3.548367175	1	0.9	-4.210810822	2.921025715
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	9	3035	1.149424282	1.927264752	1.063399459	2.049452293	2.415106562	1.1	0.8	-3.342824048	2.558527738
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	10	3066	1.160662627	2.474120159	1.313833218	3.25058125	5.824261707	1.2	0.7	-4.573069414	2.918395387
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	11	3097	1.168234605	2.423507545	1.285648185	3.115778078	3.575546622	1.1	0.8	-5.07879693	2.796207774
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	12	3128	1.156757105	2.405573986	1.602360678	3.854597162	3.035091435	1.2	0.6	-4.347106003	2.399516467
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	13	3159	1.258859129	2.314949451	1.866283958	4.320353025	2.289794581	1.2	0.5	-6.908025093	3.592459911
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	14	3190.1	1.173176345	2.291595916	1.479302776	3.389964199	3.593304596	1	0.7	-5.408775468	2.916004223
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	15	3221.1	1.154047159	1.853059566	1.054381597	1.953831905	2.188306351	0.9	0.9	-2.962631627	2.508911444
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	16	3252.1	1.178038317	1.928061859	1.318223691	2.54161682	2.06706729	1.1	0.7	-3.436078989	2.710365572
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	17	3283.1	1.148388113	1.865174676	1.07191131	1.99930183	2.292010427	0.9	0.9	-4.13907634	2.752210662
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	18	3314.1	1.104709817	1.883028563	1.222828581	2.302621146	2.469744364	1	0.8	-3.432492189	2.894483991
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	19	3345.1	1.176125405	1.901998357	1.362927163	2.592285225	2.109653538	1.2	0.6	-5.107491374	2.396954479
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	22	3486	1.041185005	0.505408857	0.167447698	0.08462955	0.793247134	1	1.9	-0.867986546	0.487794082
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	23	3517	1.063183527	0.466194043	0.389226737	0.181455186	0.497167362	1	0.9	-0.885920189	0.493942758
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	24	3548	1.019345846	0.437579983	0.281450484	0.123157098	0.544822939	0.9	1.3	-0.631262894	0.440449361
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	25	3579	1.016795287	0.478867125	0.081871858	0.039205741	1.514608568	0.9	3.2	-0.469860465	0.430406546
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	26	3610	1.046445498	0.478628027	0.314560243	0.150557349	0.67660715	1.1	1	-0.492576401	0.643816487
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	27	3641	1.064857349	0.898513506	0.621108131	0.558074044	1.00813965	1	1	-1.865095044	0.866551873
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	28	3672	1.049474304	0.921787335	0.677949006	0.624924808	1.10262982	1.2	0.8	-1.804120808	1.246744303
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	29	3703	1.014483843	0.905846348	0.559628062	0.506937037	1.229751213	1.2	0.9	-1.599677794	0.949968743
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	30	3734.2	1.037837389	0.963552708	0.422700593	0.407294301	1.791088936	1	1.1	-0.889506972	1.126230447
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	31	3765.2	1.014643254	0.920751181	0.736445462	0.678083029	1.151297655	1	0.8	-1.233832077	1.251765703
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	32	3796.2	1.05927801	1.891875828	1.335534966	2.52666632	2.139096566	1	0.7	-3.715843206	2.039648762
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	33	3827.2	1.002687519	1.886774687	1.416944552	2.673455114	2.352554286	1	0.7	-4.390146788	2.031518861
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	34	3858.2	0.997347291	1.866290559	1.279694557	2.38828187	2.354395461	1.1	0.7	-3.428905473	2.29837089
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	35	3889.2	1.025961357	1.907258877	1.246999253	2.378350394	2.154846245	1.1	0.7	-3.79475098	1.873293222
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	36	3920.2	0.979413685	1.82827131	1.283406911	2.346416035	2.305066102	1.1	0.7	-4.257438239	2.270394492
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	40	4765.3	0.434311862	0.185473386	0.05998077	0.011124837	0.366833976	1	3.4	-0.058822236	0.111188388
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	41	4796.3	0.471374649	0.22660114	0.116948405	0.026500642	0.31794301	1.1	1.9	-0.175749396	0.149617552
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	42	4827.3	0.478946617	0.10712343	0.124601326	0.013347721	0.092393966	0.4	1.2	-0.09325479	0.344325272
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	43	4858.3	0.4237908	0.151519085	0.353445875	0.053553796	0.134613669	0.7	0.9	-0.462687177	0.344325516
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	44	4889.3	0.355643085	0.197429128	0.125573575	0.024791881	0.368730962	0.9	2.6	-0.106804613	0.408886417
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	20	5	1	45	4920.3	0.360664487	0.316508309	0.164563694	0.052085777	0.481728698	1.1	2	-0.425624348	0.313582002
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	20	5	1	46	4951.3	0.372460779	0.31905886	0.25144841	0.080226843	0.404303306	1.1	1.5	-0.47344738	0.44762295
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	20	5	1	47	4982.3	0.378677808	0.324319384	0.476682338	0.154597322	0.346788204	1.1	1	-0.667130184	0.200856438
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	20	5	1	48	5013.3	0.368156754	0.290365086	0.549731621	0.159622869	0.333541243	1.2	0.9	-0.538008326	0.260037348
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	20	5	1	49	5044.3	0.330456318	0.350303194	0.210181349	0.073627198	0.527726389	1.2	1.9	-0.362258839	0.331572546
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	40	5	1	50	5075.4	0.359070385	0.610778917	1.592243316	0.972508648	0.767702019	1.1	0.6	-1.327087221	0.498041924
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	40	5	1	51	5106.4	0.352534587	0.57929547	0.891272948	0.516310382	0.784208876	0.9	1.1	-0.925374274	0.652783445
974	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	40	5	1	52	5137.4	0.352693987	0.571245279	1.08018516	0.617050673	0.705938652	1.1	0.8	-1.405995127	0.79804561
