ID	genotype	serotype	construct	area	sex	LaserPower	voltage	length	frequency	pulse	protocol	event	TTL	Baseline	Amp	K1	Krate	PeakArea	Trise	T80	Tc	Tr
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	2	65.6	11.25560341	0.235069402	0.263707343	0.061989527	-0.041144862	0.3	0.2	NA	1.474120671
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	3	3233.1	2.138327045	0.246022711	0.084813577	0.020866066	0.354182432	1.1	1.1	-0.344812268	0.190467776
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	4	3264.2	2.144494793	0.214897164	0.053866801	0.011575823	0.261231445	0.6	1.6	-0.327845277	0.334960596
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	5	3295.2	2.115279174	0.217184608	0.06082075	0.013209331	0.246823692	0.6	1.5	-0.337879568	0.389145517
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	6	3326.2	2.083413766	0.225843582	0.064350782	0.014533211	0.284087571	0.9	1.4	-0.275849825	0.301245607
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	7	3357.2	2.05151061	0.422161947	0.125554795	0.053004457	0.530173692	1.2	1	-0.529806719	0.455736054
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	8	3388.2	2.034487037	0.422765917	0.124498138	0.05263357	0.688175106	1.1	1.2	-0.80784625	0.441140813
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	9	3419.2	2.004478742	0.408112803	0.111935993	0.045682512	0.604819237	0.7	1.6	-0.874983877	0.574687205
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	10	3450.2	1.994287246	0.438007841	0.189410506	0.082963287	0.679673133	1.1	1	-0.4969674	0.575234555
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	11	3481.2	1.983771131	0.422033604	0.126534475	0.053401801	0.543360755	1.2	1	-0.836306763	0.362482963
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	12	3512.2	1.960768548	0.843923759	0.323381529	0.272909355	1.123706782	1.2	0.9	-1.872932796	1.112156467
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	13	3543.2	1.953747735	0.851163528	0.340888076	0.290151498	1.161588229	1.2	0.9	-1.199727738	1.126386796
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	14	3574.3	1.943125934	0.798952862	0.345806268	0.276282908	1.045125832	1.1	0.9	-1.269785093	1.111061874
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	15	3605.3	1.919655295	0.793087149	0.345185368	0.273762079	1.113864077	1	1	-1.105588643	1.128211224
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	16	3636.3	1.903409295	0.788097028	0.227129589	0.179000154	1.163065613	1.2	1	-1.836809977	1.158131373
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	18	3716.6	1.881554201	0.657140141	0.345357043	0.226947976	0.347751144	NA	0.9	-0.85382074	0.02422808
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	19	3750.5	1.838364903	0.704051189	0.295560425	0.208089669	0.920472526	1.2	0.8	-0.899795984	0.565711038
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	20	3781.6	1.815739782	0.709380952	0.336680421	0.238834677	1.386169526	1	0.9	-1.05742445	0.553524078
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	21	3812.6	1.822096256	0.715065554	0.316595986	0.226386884	0.946841317	1.1	0.8	-1.315760006	0.597309776
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	22	3843.6	1.795673857	0.689601915	0.258322473	0.178139672	0.969873353	1.1	0.9	-1.453684758	0.995577135
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	23	3874.6	1.784410367	0.861558853	0.393864515	0.33933746	1.266770505	1.1	0.9	-1.398952735	1.227458794
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	24	3905.6	1.7718937	0.844739124	0.329222194	0.278106867	1.246034204	1	1.1	-1.197538453	1.186227274
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	25	3936.6	1.7642765	0.860894541	0.451984048	0.3891106	1.149751747	1.1	0.8	-1.396763326	1.219796278
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	26	3967.6	1.748256977	0.832471596	0.400262367	0.333207051	1.185361596	1	1	-1.440549247	1.450619779
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	27	3998.6	1.727775844	0.852733785	0.415775279	0.354545628	1.196192523	1.1	0.9	-1.91781308	0.781574536
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	28	4029.6	1.717984459	0.759628829	0.376254877	0.285814052	0.917535874	1.2	0.8	-1.357356238	0.914756022
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	29	4060.7	1.687787433	0.768589793	0.39005422	0.299791692	0.979570389	1.1	0.8	-1.624449142	0.683300005
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	30	4091.7	1.655854078	0.730903908	0.398641267	0.29136846	0.979593033	1.1	0.8	-0.941392266	0.934094714
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	31	4122.7	1.641359504	0.740363131	0.426334981	0.315642701	0.927103059	1.1	0.8	-1.085885188	0.872273483
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	32	4153.7	1.601884442	0.725543943	0.374251819	0.271536141	0.962284863	1.1	0.9	-1.155942218	1.015098226
984	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	41	4995.5	-0.644729392	0.119300942	-0.016405897	-0.001957239	0.236121951	1.1	4.2	-0.051448202	0.127604042
