ID	genotype	serotype	construct	area	sex	LaserPower	voltage	length	frequency	pulse	protocol	event	TTL	Baseline	Amp	K1	Krate	PeakArea	Trise	T80	Tc	Tr
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	4	3793.8	5.604609529	0.888928142	0.010636208	0.009454825	10.48747779	22.9	NA	-0.026715057	0.888169758
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	5	3825	6.06778455	1.089817921	0.000580425	0.000632558	9.547502273	1.1	NA	-1.370292529	0.839438003
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	6	3856	6.424209179	0.905710999	0.258955214	0.234538585	0.879273887	1.1	0.5	-2.222715567	0.794154366
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	15	2	7	3887	6.286500377	1.015005727	0.179315706	0.182006469	1.213381332	1.1	0.7	-2.722253431	0.972342624
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	8	3918	6.121562733	1.225772537	0.325596157	0.399106828	1.22366913	1.1	0.6	-2.511439429	1.143438146
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	9	3949	6.208796211	1.221031601	0.449001545	0.548245075	1.173206437	1.1	0.5	-3.194294324	1.484865613
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	10	3980	6.372991117	1.181033779	0.314814151	0.371806146	1.148879043	1	0.6	-2.488524692	1.545752872
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	11	4011	5.815581815	1.192617527	0.285085817	0.339998342	1.189513763	1.1	0.7	-2.442695641	1.243804141
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	10	2	12	4042	5.799257143	1.272644771	0.293392012	0.373383811	1.326576198	1.2	0.6	-3.148464955	1.226694596
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	13	4073	5.787657624	0.995062134	0.166909337	0.166085161	3.080727654	1.2	0.8	-3.583842534	1.248845397
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	14	4104	5.426744888	1.016838921	-0.001573603	-0.001600101	10.77572124	1.2	NA	-0.052547329	1.215237335
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	15	4135.1	5.927231187	1.093342017	0.192454374	0.210418453	4.314349931	1.1	0.8	-1.714011614	1.595772337
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	16	4166.1	6.084946801	1.116193392	0.166810913	0.186193239	1.62609992	1.1	0.9	-1.503197248	1.489448581
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	2	17	4197.1	6.121578541	1.236297468	0.026099738	0.032267039	4.399393004	1.1	3.6	-0.951719417	1.099900527
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	20	4316.4	6.492131207	0.324043914	0.002164879	0.000701516	1.044741006	0.9	7	-0.111299434	0.323095752
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	21	4347.4	6.684092269	0.326398587	0.013118484	0.004281855	0.526041563	1.1	2.1	-0.164985065	0.357467759
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	22	4378.4	6.343375999	0.303231156	0.030463972	0.009237625	0.400090322	1.1	1.1	-0.374271746	0.27803047
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	23	4409.4	6.209096492	0.333020122	9.60356E-05	3.19818E-05	2.162941485	1.1	NA	-0.041358045	0.347647186
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	10	5	1	24	4440.4	6.142217493	0.327030722	7.36372E-05	2.40816E-05	2.765136973	1.1	NA	-0.078138747	0.346992469
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	25	4471.4	6.269543607	0.548006393	0.065078591	0.035663484	0.612119814	1.2	1	-0.669106131	0.509620559
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	26	4502.4	6.092563943	0.567333656	0.064126911	0.036381355	0.684571025	1.2	1	-0.678271962	0.536201594
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	27	4533.5	6.077187463	0.621206681	0.070940759	0.044068873	0.72306436	1.1	1.1	-0.694312178	0.589477988
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	28	4564.5	5.774303958	0.643157286	0.037905276	0.024379055	1.785555724	1.1	1.8	-0.331115866	0.766875187
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	20	5	1	29	4595.5	5.821697663	0.631968628	0.041822013	0.0264302	1.146070921	1.1	1.7	-0.32309574	0.701841335
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	30	4626.5	5.770195146	1.33837013	0.102408492	0.137060466	1.869111583	1.1	1.5	-1.031156678	1.279398115
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	31	4657.5	5.655653792	1.28334351	0.127832006	0.164052376	1.681893044	1.1	1.3	-1.144201992	1.148348465
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	32	4688.5	5.502852966	1.336236744	0.096750378	0.12928141	2.528879616	1.2	1.4	-1.339739899	1.20334352
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	33	4719.5	5.453720919	1.349622013	0.093495419	0.126183475	2.096057723	1.2	1.5	-1.574996443	1.314642995
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.7	1s	40	5	1	34	4750.5	5.359834302	1.356433169	0.057985514	0.078653474	2.750542754	1.2	2.4	-0.75465391	1.341485808
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	42	5623.7	0.110138032	0.032238266	1.017305874	0.032796177	0.005766772	0	0.4	-0.13093341	NA
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	43	5690.8	0.265800506	0.125936131	0.020133637	0.002535552	0.641434755	0.9	10.7	-0.020434942	0.148972483
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	44	5721.8	0.156675062	0.085725171	0.619363096	0.053095007	0.061400704	0.9	0.7	-0.166727438	0.114897713
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	45	5752.8	0.090478467	0.128588343	0.094389324	0.012137367	0.402505152	1.1	4.6	-0.115957343	0.111802711
983	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	F	4	0.25	1s	10	5	1	46	5783.8	0.110269975	0.089236523	0.588692852	0.052532903	0.174207011	1.1	1.1	-0.118852236	0.077163472
