ID	genotype	serotype	construct	area	sex	LaserPower	voltage	length	frequency	pulse	protocol	event	TTL	Baseline	Amp	K1	Krate	PeakArea	Trise	T80	Tc	Tr
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	15	2	7	2593.5	0.364441356	0.6718654	1.359330401	0.913287064	0.763673586	1.1	0.7	-1.081280327	1.251127451
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	15	2	8	2624.5	0.485932763	0.668070855	1.046807237	0.699341406	0.664972529	1	0.8	-2.009458918	0.464089328
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	15	2	9	2655.5	0.489166374	0.654311514	1.602452597	1.048503185	0.651252775	1.1	0.5	-1.468818837	0.479638722
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	15	2	10	2686.5	0.525692991	0.653189644	1.489429965	0.972880228	0.658214949	1.1	0.6	-1.688902483	0.559094368
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	15	2	11	2717.5	0.489826294	0.603893569	1.160622115	0.700892232	0.683988158	1.1	0.7	-0.956885184	0.90664876
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	10	2	12	2748.5	0.43983729	0.787846493	0.020451387	0.016112553	4.548352642	1.1	9	-2.66970981	0.665035207
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	10	2	13	2779.5	0.577760746	0.869049767	1.03245378	0.897253717	0.867531931	1.2	0.7	-2.009459032	0.904940024
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	10	2	14	2810.5	0.608117104	0.785107822	0.958432114	0.75247255	0.811917098	0.9	0.9	-1.593213883	1.307105229
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	10	2	15	2841.6	0.62405419	0.750033025	1.303084874	0.97735669	0.736260478	1.1	0.6	-2.239111474	1.016690555
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	10	2	16	2872.6	0.671898449	0.783524018	0.881928408	0.691012089	1.086322092	0.9	0.9	-1.908986037	0.876506876
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	2	17	2903.6	0.707534176	0.660811738	0.672356582	0.444301122	0.713272138	0.9	1	-0.956885221	1.100418018
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	2	18	2934.6	0.723735244	0.911581665	0.11766719	0.107263253	2.165639098	1.2	3.1	-1.094038802	0.952100821
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	2	19	2965.6	0.764584342	0.687967481	1.170876992	0.805525294	0.655674251	1.2	0.5	-1.358777036	0.813352428
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	2	20	2996.6	0.736372728	0.710437784	0.485057757	0.344603358	1.014163029	1.2	1	-1.339639432	0.745003487
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	2	21	3027.6	0.874956099	0.65318966	0.836828129	0.546607481	0.646745513	1.2	0.6	-1.980752466	0.645897531
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	5	1	25	3131.1	0.874923107	0.396777437	0.054613463	0.02166939	0.870234329	3.8	3.3	-0.018074498	0.095346787
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	5	1	26	3162.1	0.883205134	0.19042015	0.060736819	0.011565514	0.285151776	0.9	2.3	-0.064372272	0.215299165
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	5	1	27	3193.1	0.930125484	0.236317659	0.050125364	0.011845509	0.58363396	28.3	2.8	-0.03253409	0.004698065
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	5	1	28	3224.1	1.059205997	0.07948746	0.668942287	0.053172523	-0.000181483	1.2	0.2	NA	0.114028816
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	10	5	1	29	3255.2	0.952826765	0.165772146	0.486326071	0.080619316	0.107751906	1.1	0.4	NA	0.121205474
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	5	1	30	3286.2	0.955136482	0.400769934	0.427189441	0.171204684	0.340367361	1.2	0.7	-1.167400071	0.331321521
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	5	1	31	3317.2	1.004003617	0.297360333	0.421099882	0.125218401	0.30579742	1.1	0.6	-0.669819744	0.227738689
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	5	1	32	3348.2	1.002716776	0.324483083	0.274909905	0.089203613	0.369849336	1.2	0.8	-0.861196761	0.295039621
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	5	1	33	3379.2	1.025022094	0.306005297	0.402337238	0.123117326	0.269155314	1.1	0.7	-1.435327879	0.306203274
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	20	5	1	34	3410.2	1.029509555	0.271854386	0.119741008	0.032552118	0.330230986	0.8	1.9	-0.53107131	0.416245065
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	1	35	3441.2	1.028189717	0.649230122	0.634985201	0.41225152	0.676422154	1.1	0.8	-0.784645895	0.732974081
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	1	36	3472.2	1.043763866	0.684370906	0.709120293	0.485301297	0.765442178	1.2	0.7	-1.014298378	0.636328665
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	1	37	3503.2	1.05867808	0.699120139	0.602116732	0.420951934	0.879492908	1.2	0.8	-0.928178817	0.645214026
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	1	38	3534.2	1.106126378	0.658370026	0.727654647	0.479066009	0.684473173	1.2	0.7	-1.153046682	0.775077032
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.7	1s	40	5	1	39	3565.3	1.104905518	0.679685462	0.472561864	0.321193429	1.134598597	1.2	0.8	-1.33485493	0.779861481
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	5	1	44	4296.9	8.499088913	0.075561121	0.020601223	0.001556652	-0.300283818	2.8	0.4	-0.382754599	0.036566758
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	5	1	45	4327.9	7.713089991	-0.001550816	-20.42717801	0.0316788	-0.004042017	0.1	0.1	NA	0.373185337
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	5	1	46	4358.9	7.484955302	0.055301383	0.024339809	0.001346025	-1.01343725	28.6	0.4	NA	0.002569728
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	5	1	47	4389.9	7.484295377	0.024384086	0.038304456	0.000934019	-0.113272127	1.3	0.2	NA	0.022818046
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	5	1	48	4420.9	7.363694819	0.19091513	0.000900579	0.000171934	1.093944768	28.5	2.6	0.010844693	0.004092338
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	20	5	1	49	4451.9	7.513067944	0.071205568	0.048174977	0.003430327	-0.692006589	15.2	0.3	-0.334911535	0.005351011
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	20	5	1	50	4482.9	7.446250933	0.020325558	0.046242869	0.000939912	-0.169837246	1.5	0.2	NA	0.011482605
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	20	5	1	51	4514	7.081413606	0.078959546	0.010220175	0.00080698	-1.13562508	19.9	0.8	-0.679388575	0.004682631
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	20	5	1	52	4545	7.069469036	0.116740016	0.069049864	0.008060882	-0.026218659	2.7	0.3	NA	0.061719118
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	20	5	1	53	4576	7.132062526	0.05893099	0.053512262	0.003153531	-0.108735178	2.2	0.3	NA	0.019572679
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	40	5	1	54	4607	6.546217682	0.343356876	0.002916923	0.001001546	1.250223552	30.6	0.5	NA	0.031991387
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	40	5	1	55	4638	6.84219223	0.119148754	-0.000318949	-3.80024E-05	-0.028653761	1.3	3.8	-0.030395176	0.042691832
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	40	5	1	56	4669	6.658602215	0.080741319	0.033890401	0.002736356	-0.237766205	1.4	0.5	-0.602837859	0.057413124
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	40	5	1	57	4700	6.570766727	0.080543365	0.005358427	0.000431586	-4.205085074	30.4	0.7	0.009568877	0.005130669
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	40	5	1	58	4731	6.596701643	0.135943719	0.002587127	0.000351704	-0.007598965	1.6	2.8	0.03636168	0.033490999
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	15	2	62	4826.4	6.19906623	0.163264476	0.004416793	0.000721105	0.228976144	3.8	3.4	-0.059007944	0.030370721
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	15	2	63	4857.4	5.945590593	0.104795471	0.172280631	0.01805423	-0.01865267	0.1	0.2	NA	0.287065529
981	Pitx2-Cre	AAV-DJ	ChR2-EYFP	GPe	M	4	0.25	1s	10	15	2	64	4888.4	5.778993544	0.294357827	0.002540166	0.000747718	1.391370774	17.2	3.1	0.015310213	0.019903222
